Date,Open,High,Low,Close,Volume,Adj Close
2014-07-03,100.49,100.49,99.83,100.39,3668800,99.26
2014-07-02,100.08,100.37,99.80,100.01,5926400,98.88
2014-07-01,100.35,100.66,99.91,100.16,6885800,99.03
2014-06-30,99.95,100.22,99.56,100.10,6312800,98.97
2014-06-27,99.78,100.07,99.44,100.02,8222100,98.89
2014-06-26,99.97,100.10,99.11,100.02,8080000,98.89
2014-06-25,98.75,100.01,98.64,99.91,13860300,98.78
2014-06-24,101.20,101.28,98.94,99.16,17748500,98.04
2014-06-23,101.24,101.52,100.98,101.29,7959200,100.15
2014-06-20,100.45,100.99,100.12,100.93,9096200,99.79
2014-06-19,99.75,100.42,99.47,100.40,8677000,98.81
2014-06-18,98.98,99.78,98.65,99.69,14863600,98.11
2014-06-17,98.81,98.96,98.31,98.94,10045500,97.37
2014-06-16,98.77,99.23,98.59,99.01,13386900,97.44
2014-06-13,97.75,98.43,97.17,98.42,9736600,96.86
2014-06-12,97.60,98.14,97.31,97.49,11869600,95.95
2014-06-11,96.51,97.30,96.30,97.17,5651700,95.63
2014-06-10,96.97,97.05,96.56,96.80,3766100,95.27
2014-06-09,96.94,97.47,96.72,96.96,5652000,95.43
2014-06-06,96.24,96.95,96.24,96.81,5420000,95.28
2014-06-05,95.37,96.18,95.18,96.02,6174800,94.50
2014-06-04,95.36,95.57,95.07,95.47,3686600,93.96
2014-06-03,94.97,95.64,94.96,95.52,5998600,94.01
2014-06-02,95.40,95.74,94.92,95.19,5075700,93.68
2014-05-30,95.12,95.42,94.85,95.31,5958000,93.80
2014-05-29,94.75,95.43,94.49,95.38,7278300,93.87
2014-05-28,94.40,94.89,94.20,94.57,7535500,93.07
2014-05-27,94.42,94.63,94.06,94.41,5057300,92.92
2014-05-23,94.32,94.68,94.13,94.15,5280600,92.66
2014-05-22,94.43,94.84,94.22,94.34,6869200,92.85
2014-05-21,93.85,94.56,93.72,94.43,5857400,92.94
2014-05-20,93.49,93.86,93.24,93.42,4675600,91.94
2014-05-19,93.14,93.94,93.14,93.69,5032200,92.21
2014-05-16,93.47,93.74,92.93,93.40,14811000,91.92
2014-05-15,94.53,94.56,92.95,93.64,11448800,92.16
2014-05-14,94.78,95.02,94.59,94.72,4984600,93.22
2014-05-13,94.51,94.82,94.37,94.68,4988800,93.18
2014-05-12,94.10,94.38,93.81,94.33,5213900,92.84
2014-05-09,93.88,94.05,93.31,93.67,8710800,92.19
2014-05-08,94.93,95.09,93.68,93.76,10966300,92.28
2014-05-07,94.72,95.25,94.19,95.12,9630900,93.61
2014-05-06,94.25,94.80,94.17,94.30,7476700,92.81
2014-05-05,93.37,94.32,93.20,94.16,8037300,92.67
2014-05-02,93.36,94.42,93.23,93.72,8711000,92.24
2014-05-01,93.61,93.86,93.26,93.53,10715300,92.05
2014-04-30,93.61,93.88,93.14,93.74,10821600,92.26
2014-04-29,93.84,94.66,93.79,93.82,8272600,92.33
2014-04-28,93.55,93.63,92.61,93.39,11167000,91.91
2014-04-25,93.53,93.82,92.94,93.23,8872100,91.75
2014-04-24,94.03,94.25,93.62,93.79,8876500,92.31
2014-04-23,93.26,94.02,93.26,93.76,8561700,92.28
2014-04-22,93.16,93.53,92.71,93.27,6345200,91.79
2014-04-21,92.88,93.49,92.71,93.42,8506400,91.94
2014-04-17,92.07,93.07,91.91,92.79,18549500,91.32
2014-04-16,91.39,91.97,91.26,91.95,13036700,90.49
2014-04-15,89.60,90.89,89.32,90.86,22442900,89.42
2014-04-14,89.13,89.84,88.71,89.66,9961400,88.24
2014-04-11,88.26,88.97,88.22,88.45,13455900,87.05
2014-04-10,89.61,90.19,88.51,88.70,12298300,87.30
2014-04-09,89.82,90.01,89.04,89.95,7224500,88.53
2014-04-08,88.87,89.73,88.70,89.54,11644400,88.12
2014-04-07,89.95,90.13,88.65,88.65,11244800,87.25
2014-04-04,91.17,91.30,90.00,90.16,13997800,88.73
2014-04-03,90.11,90.86,89.96,90.49,10792000,89.06
2014-04-02,89.40,90.07,89.33,89.91,10008600,88.49
2014-04-01,89.09,89.60,89.05,89.59,10247300,88.17
2014-03-31,89.50,89.59,88.79,89.06,8451600,87.65
2014-03-28,88.25,89.25,88.20,89.06,9955600,87.65
2014-03-27,87.28,88.23,87.07,87.96,11386300,86.57
2014-03-26,87.96,88.19,87.19,87.25,8564400,85.87
2014-03-25,87.33,87.73,87.30,87.66,7168800,86.27
2014-03-24,87.33,87.73,86.72,86.88,10044000,85.50
2014-03-21,87.12,87.71,87.04,87.06,14130200,85.68
2014-03-20,86.48,87.39,86.19,87.25,8713400,85.45
2014-03-19,87.60,87.63,86.37,86.91,9322600,85.12
2014-03-18,87.16,87.84,86.89,87.57,6995200,85.76
2014-03-17,86.72,87.11,86.50,86.84,10419200,85.05
2014-03-14,86.20,86.72,86.08,86.38,10653400,84.60
2014-03-13,87.30,87.33,85.97,86.30,11272800,84.52
2014-03-12,86.55,87.39,86.46,87.17,9368700,85.37
2014-03-11,88.27,88.33,86.87,87.16,12268000,85.36
2014-03-10,87.93,88.22,87.42,88.16,8864500,86.34
2014-03-07,88.21,88.27,87.68,88.02,9852800,86.20
2014-03-06,87.28,87.94,87.23,87.85,7788300,86.04
2014-03-05,87.77,87.85,86.99,87.22,10865400,85.42
2014-03-04,87.85,88.30,87.51,88.04,10524500,86.22
2014-03-03,87.12,88.09,86.81,87.09,12463600,85.29
2014-02-28,87.27,87.99,87.13,87.65,10474500,85.84
2014-02-27,87.15,87.35,86.58,87.21,9333400,85.41
2014-02-26,87.71,87.81,86.85,87.12,10048300,85.32
2014-02-25,87.54,87.84,86.96,87.67,9583300,85.86
2014-02-24,86.67,88.48,86.62,87.71,18613900,85.90
2014-02-21,87.29,87.31,86.36,86.41,11582800,84.63
2014-02-20,86.50,87.27,86.38,87.10,9436900,85.30
2014-02-19,86.15,87.41,86.15,86.53,23822000,84.74
2014-02-18,86.16,86.53,86.01,86.42,8854000,84.64
2014-02-14,84.99,86.20,84.86,86.03,12618300,84.25
2014-02-13,84.12,85.14,83.89,84.92,9799000,83.17
2014-02-12,84.98,85.15,84.43,84.52,6812400,82.77
2014-02-11,83.72,85.01,83.63,84.72,10869700,82.97
2014-02-10,84.02,84.13,83.28,83.63,7961000,81.90
2014-02-07,83.65,84.17,83.14,84.04,12402300,82.30
2014-02-06,82.14,83.34,82.11,83.14,13028300,81.42
2014-02-05,82.73,82.75,81.81,81.92,27270900,80.23
2014-02-04,82.35,82.94,82.05,82.73,20339800,81.02
2014-02-03,83.30,83.65,81.78,81.89,25172800,80.20
2014-01-31,83.49,84.12,83.03,83.38,15983200,81.66
2014-01-30,84.77,84.91,83.99,84.47,12265700,82.73
2014-01-29,83.93,84.78,83.49,84.20,20124900,82.46
2014-01-28,84.23,84.80,84.00,84.67,9112800,82.92
2014-01-27,84.48,84.65,83.44,84.03,16054500,82.30
2014-01-24,85.61,85.61,84.28,84.33,17426100,82.59
2014-01-23,86.65,86.83,85.72,86.13,14900800,84.35
2014-01-22,86.93,87.22,86.57,87.12,10557600,85.32
2014-01-21,86.62,86.92,85.99,86.72,12725800,84.93
2014-01-17,86.36,86.83,85.90,86.01,12632900,84.23
2014-01-16,85.87,86.17,85.47,86.15,11297100,84.37
2014-01-15,86.40,86.48,85.90,86.03,11667900,84.25
2014-01-14,85.51,86.32,85.51,86.28,13222100,84.50
2014-01-13,86.66,86.79,85.09,85.17,16717600,83.41
2014-01-10,86.89,87.01,86.33,86.90,10470100,85.11
2014-01-09,87.19,87.34,86.11,86.83,12222700,85.04
2014-01-08,87.72,87.75,86.77,87.10,10941500,85.30
2014-01-07,87.30,87.77,86.85,87.71,6651000,85.90
2014-01-06,87.19,87.34,86.56,87.05,9256600,85.25
2014-01-03,87.34,87.69,86.75,86.93,9714300,85.14
2014-01-02,87.98,88.24,86.90,87.25,11133600,85.45
2013-12-31,87.87,88.54,87.55,88.51,8075400,86.68
2013-12-30,88.40,88.49,87.57,87.66,7045700,85.85
2013-12-27,88.16,88.41,87.87,88.29,5865900,86.47
2013-12-26,87.48,87.98,87.34,87.86,8857600,86.05
2013-12-24,86.83,87.32,86.72,87.24,5594400,85.44
2013-12-23,86.99,87.34,86.65,86.76,9767900,84.97
2013-12-20,86.49,87.01,86.44,86.67,15694300,84.88
2013-12-19,86.37,86.96,86.18,86.92,11210600,84.73
2013-12-18,85.63,86.70,84.81,86.67,15264000,84.49
2013-12-17,85.80,85.95,85.10,85.38,9856200,83.23
2013-12-16,85.59,86.15,85.35,85.87,12160800,83.71
2013-12-13,85.21,85.26,84.74,85.13,12163400,82.99
2013-12-12,85.04,85.79,84.88,85.41,10983600,83.26
2013-12-11,86.36,86.36,84.87,85.05,14682700,82.91
2013-12-10,86.33,86.79,86.16,86.27,10561400,84.10
2013-12-09,86.60,86.86,86.14,86.53,13072100,84.35
2013-12-06,86.89,87.04,86.14,86.41,11673000,84.23
2013-12-05,86.21,86.58,85.97,86.14,10071100,83.97
2013-12-04,86.60,86.89,85.74,86.43,10034300,84.25
2013-12-03,86.30,86.98,86.12,86.71,10845100,84.53
2013-12-02,86.53,87.09,86.01,86.50,9619400,84.32
2013-11-29,86.61,87.19,86.20,86.44,4976700,84.26
2013-11-27,86.97,87.37,86.12,86.62,9319300,84.44
2013-11-26,87.34,87.76,86.86,87.21,6774600,85.01
2013-11-25,88.14,88.14,86.99,87.43,9752600,85.23
2013-11-22,88.06,88.24,87.28,88.23,7559500,86.01
